"year","sex","name","n","prop"
1880,"F","Mary",7065,0.07238359
1880,"F","Anna",2604,0.02667896
1880,"F","Emma",2003,0.02052149
1880,"F","Elizabeth",1939,0.01986579
1880,"F","Minnie",1746,0.01788843
1880,"F","Margaret",1578,0.0161672
1880,"F","Ida",1472,0.01508119
1880,"F","Alice",1414,0.01448696
1880,"F","Bertha",1320,0.0135239
1880,"F","Sarah",1288,0.01319605
1880,"F","Annie",1258,0.01288868
1880,"F","Clara",1226,0.01256083
1880,"F","Ella",1156,0.01184366
1880,"F","Florence",1063,0.01089084
1880,"F","Cora",1045,0.01070642
1880,"F","Martha",1040,0.01065519
1880,"F","Laura",1012,0.01036832
1880,"F","Nellie",995,0.01019415
1880,"F","Grace",982,0.01006096
1880,"F","Carrie",949,0.00972286
1880,"F","Maude",858,0.00879053
1880,"F","Mabel",808,0.00827826
1880,"F","Bessie",796,0.00815532
1880,"F","Jennie",793,0.00812458
1880,"F","Gertrude",787,0.00806311
1880,"F","Julia",783,0.00802213
1880,"F","Hattie",769,0.00787869
1880,"F","Edith",768,0.00786845
1880,"F","Mattie",704,0.00721275
1880,"F","Rose",700,0.00717176
1880,"F","Catherine",688,0.00704882
1880,"F","Lillian",672,0.00688489
1880,"F","Ada",652,0.00667999
1880,"F","Lillie",647,0.00662876
1880,"F","Helen",636,0.00651606
1880,"F","Jessie",635,0.00650581
1880,"F","Louise",635,0.00650581
1880,"F","Ethel",633,0.00648532
1880,"F","Lula",621,0.00636238
1880,"F","Myrtle",615,0.00630091
1880,"F","Eva",614,0.00629066
1880,"F","Frances",605,0.00619845
1880,"F","Lena",603,0.00617796
1880,"F","Lucy",590,0.00604477
1880,"F","Edna",588,0.00602428
1880,"F","Maggie",582,0.00596281
1880,"F","Pearl",569,0.00582962
1880,"F","Daisy",564,0.00577839
1880,"F","Fannie",560,0.00573741
1880,"F","Josephine",544,0.00557348
1880,"F","Dora",524,0.00536858
1880,"F","Rosa",507,0.00519441
1880,"F","Katherine",502,0.00514318
