y,x,g
3.0,0.5891816468102646,g00
0.0,0.2812290240216524,g00
2.0,-0.06478279932986605,g00
2.0,-0.127726901382724,g00
4.0,0.6948590730235964,g00
2.0,0.7754129072627275,g00
1.0,0.32078828767938766,g00
1.0,-0.07622083152256774,g00
2.0,-0.7349252486814409,g00
2.0,-0.6728107812961747,g00
2.0,-1.0031550144557424,g01
0.0,0.2813507578703044,g01
0.0,0.4993139438865758,g01
2.0,0.1758129630673286,g01
0.0,-1.9645714935345715,g01
2.0,-0.08886645071076617,g01
4.0,-0.5579632411647797,g01
0.0,0.27252861094087527,g01
2.0,-0.9636643444028203,g01
1.0,-1.2068827972498013,g01
1.0,0.6839859803799732,g02
2.0,0.18942177109310215,g02
0.0,0.6256116600002065,g02
0.0,-0.1277894979755343,g02
1.0,0.23826022898515326,g02
0.0,-0.9261915004267289,g02
0.0,-0.07091982098717767,g02
0.0,0.41081873084976334,g02
0.0,-1.2334333906899626,g02
3.0,-0.06565440345993243,g02
1.0,-0.8638761871107039,g03
0.0,-0.19520098363688956,g03
3.0,-0.3031685327356244,g03
2.0,0.7225494234525994,g03
1.0,-0.29938733910272575,g03
3.0,0.23375728902364667,g03
1.0,0.2023991249182422,g03
1.0,-0.2935569300301352,g03
3.0,-0.34246263641529984,g03
4.0,0.2570184385057744,g03
0.0,-0.5234771023236833,g04
0.0,-0.0028146080152453307,g04
0.0,0.29722508938813386,g04
4.0,1.1836912076216672,g04
1.0,-0.7181172743715832,g04
2.0,0.07826308867010358,g04
0.0,0.197435784111595,g04
1.0,0.40089498097139936,g04
2.0,0.38339577442265077,g04
3.0,1.16427077780915,g04
4.0,-0.3327234388394563,g05
3.0,-0.4594266354220824,g05
1.0,-0.3880166167862322,g05
1.0,-0.6165185122457058,g05
2.0,-0.4085388428764883,g05
2.0,-0.8601663967940223,g05
1.0,0.5372961074970587,g05
1.0,-0.14343676229087346,g05
2.0,0.6002422877225521,g05
1.0,-0.01955398790168916,g05
2.0,0.9557682457274316,g06
1.0,0.5161184593667862,g06
2.0,0.3230218605384453,g06
1.0,0.10514744269004227,g06
3.0,0.987538884104707,g06
1.0,-0.07733276391122308,g06
0.0,-1.1973023878226197,g06
0.0,0.42878363364305,g06
2.0,0.29501973777529245,g06
1.0,-1.2712875547061169,g06
1.0,0.678791072865487,g07
1.0,-0.7249291681277221,g07
1.0,0.17751955115627543,g07
0.0,0.045161214038928706,g07
1.0,0.11769614898480177,g07
1.0,-0.1876553398448122,g07
2.0,0.8527740880849491,g07
2.0,0.4100823303001342,g07
0.0,-0.6233137746668281,g07
1.0,0.009409613641531554,g07
0.0,-0.7459258070063713,g08
2.0,0.5951153889565979,g08
2.0,0.5183790837590526,g08
2.0,-1.0530231292533239,g08
2.0,0.08928493110969075,g08
0.0,0.6660447362148412,g08
1.0,-0.10965174862998862,g08
1.0,-0.1531126608067859,g08
0.0,-0.15056201221421586,g08
0.0,0.48997257556148693,g08
2.0,-0.7364492024818066,g09
0.0,-0.31273806732438186,g09
1.0,-0.422827469140765,g09
1.0,0.41246248211120845,g09
1.0,0.3285557373211098,g09
2.0,-1.23951168213507,g09
2.0,-0.6994912492407546,g09
1.0,-0.7075503163816599,g09
3.0,-0.017855615935127557,g09
2.0,0.6909130745451956,g09
3.0,1.3251970215810958,g10
1.0,0.26407966961233537,g10
2.0,0.625899592530712,g10
0.0,0.07540604695336699,g10
2.0,-0.7591496728935844,g10
0.0,0.22461602220913718,g10
1.0,-0.11976564918012764,g10
2.0,0.6928697425664083,g10
3.0,-0.3370234258923897,g10
2.0,-0.6826539641693179,g10
0.0,-0.7760220558177373,g11
4.0,0.6748871660838018,g11
1.0,-0.42060043630415556,g11
3.0,-0.017325485806155828,g11
1.0,-0.3749849324921433,g11
3.0,-1.0982208118786718,g11
3.0,1.1428759004720994,g11
0.0,0.3179514689755885,g11
1.0,-0.1588745693803468,g11
3.0,0.5442883473621045,g11
